"model_id","location","Energy Score","Brier Score Point","Brier Score Dist","Interval Coverage 50","Interval Coverage 90","n"
"UGA-multicast","TX",0.721278550556275,0.338645225586659,0.344065211668475,0.869646882043576,0.934635612321563,725
"UGA-multicast","UT",1.00923483229959,0.267696895661729,0.272562708108983,0.794776119402985,0.858582089552239,1195
"UGA-multicast","VA",1.21797086750107,0.360786144043414,0.366589805336919,0.661959777492512,0.815575524176294,1163
"UGA-multicast","VT",0.733408799544851,0.338485361578077,0.348457820392026,0.78046875,0.91171875,1176
"UGA-multicast","WA",1.09766753007073,0.377508719490836,0.384441521129604,0.802390438247012,0.882470119521912,786
"UGA-multicast","WI",0.739873623109331,0.364860823665406,0.391608780607161,0.944568452380952,0.96875,293
"UGA-multicast","WV",0.70978627561895,0.42529437077218,0.444507940855383,0.986178558087411,0.988046320508031,78
"UGA-multicast","WY",0.000713491956775728,0.000494514987665055,0.000507393814614465,1,1,6
"UMass-HMLR","AK",0.542841202964346,0.29349554460236,0.326732286932431,0.96562228024369,0.982593559617058,276
"UMass-HMLR","AL",0.593513100934849,0.369061922921998,0.39375651945448,0.970640887934121,0.992839240959542,155
"UMass-HMLR","AR",0.403391698107113,0.268553612168551,0.300113113562195,0.991751767478397,0.996857816182247,62
"UMass-HMLR","AZ",0.851350810362493,0.27651813002854,0.286940178690424,0.640696228760879,0.860754247824285,1804
"UMass-HMLR","CA",4.41304122618431,0.318089170743113,0.324237979626778,0.187292358803987,0.531976744186046,2405
"UMass-HMLR","CO",1.79918863974321,0.272277990394607,0.28142743011321,0.388956066102378,0.747279322853688,2017
"UMass-HMLR","CT",0.707654114017614,0.264272680509137,0.280888360829792,0.663330950679056,0.879556826304503,2217
"UMass-HMLR","DC",0.5382775675189,0.290330464129045,0.315289319333069,0.920986771540937,0.97139792634966,598
"UMass-HMLR","DE",1.0417690087642,0.324223816016872,0.33252729145045,0.812206572769953,0.938575899843505,751
"UMass-HMLR","FL",0.710080675073327,0.307013739273423,0.321684169762216,0.835521235521235,0.93976833976834,825
